study_id,fcs_files,cluster_id,label,fcs_names,TIME,CELL_LENGTH,DEAD,CD19,CD4,CD8,IGD,CD85J,CD16,CD3,CD38,CD27,CD14,CD94,CCR7,CD45RA,CD20,CD127,CD33,CD28,CD24,CD161,TCRGD,CD56,HLADR,CD25,DNA1,DNA2,fraction
Data_SDY420_CyTOF-1,Data/SDY420/ResultFiles/CyTOF_result/11059_cells_found.573523.fcs,cluster1,CD16-|CD3-|CD4-|CD8-,11059_cells_found.573523.fcs,590891,37,-0.0115512,0.041769831,0.064905457,0.005062189,-0.012701103,1.643699825,-0.019271919,0.042660672,1.665326953,0.369590595,0.012326516,-0.05043317,0.234228626,2.780332565,0.577616125,0.041731043,0.206160806,0.033758666,-0.007760625,-0.054645641,-0.051925579,-0.031066121,3.415518045,0.528607935,6.50569129,6.948570013,0.404
Data_SDY420_CyTOF-1,Data/SDY420/ResultFiles/CyTOF_result/11445_cells_found.573686.fcs,cluster1,CD16-|CD3-|CD4-|CD8-,11445_cells_found.573686.fcs,565316,40,0.010016305,-0.038154155,0.196869425,-0.030855591,-0.037994083,2.087086678,-0.000416199,0.064416546,3.096938372,0.194025375,0.441677079,-0.017327427,0.044425,2.023950219,-0.020935792,-0.032426136,2.251336336,0.211379014,-0.022546019,-0.041232107,-0.054417519,0.13481649,4.121792078,0.61709708,6.691303253,7.129610538,0.294
Data_SDY420_CyTOF-1,Data/SDY420/ResultFiles/CyTOF_result/11462_cells_found.573690.fcs,cluster1,CD16-|CD3-|CD4-|CD8-,11462_cells_found.573690.fcs,647477,40,-0.004712255,-0.036998935,0.136575833,-0.038845494,-0.039078534,1.763070226,-0.021214282,-0.003636106,2.404645443,0.183941767,0.475159496,-0.020109061,-0.005139737,2.520766497,0.000474979,-0.025631649,0.251710445,-0.01980393,-0.037051391,-0.04858188,-0.049490504,0.185425073,2.510011196,0.164963827,6.672600269,7.098855495,0.447
Data_SDY420_CyTOF-1,Data/SDY420/ResultFiles/CyTOF_result/11491-1_cells_found.573697.fcs,cluster1,CD16-|CD3-|CD4-|CD8-,11491-1_cells_found.573697.fcs,535440.5,33,0.273572296,-0.050622508,-0.001643267,-0.024932116,-0.033214407,1.674110115,-0.025983009,0.167662524,2.524496913,0.299837559,0.410118416,-0.017030662,0.800066233,0.503431499,0.337614834,-0.01134429,1.000690639,0.211114101,-0.024548351,-0.019893077,-0.048334567,-0.022746512,2.818606377,0.057299593,5.063522339,5.649722099,0.338
Data_SDY420_CyTOF-1,Data/SDY420/ResultFiles/CyTOF_result/11059_cells_found.573523.fcs,cluster2,CD16-|CD3-|CD4-,11059_cells_found.573523.fcs,590891,37,-0.010578471,0.033078506,0.064905457,0.005727817,-0.013805291,1.626850486,-0.019271919,0.043687975,1.65197891,0.369590595,0.012326516,-0.050332453,0.235270329,2.737214923,0.574242294,0.060870344,0.196142219,0.053351821,-0.007826111,-0.054393372,-0.052213959,-0.030953403,3.354782462,0.510634571,6.503218651,6.946679831,0.408
Data_SDY420_CyTOF-1,Data/SDY420/ResultFiles/CyTOF_result/11445_cells_found.573686.fcs,cluster2,CD16-|CD3-|CD4-,11445_cells_found.573686.fcs,563900,40,0.009187643,-0.038469814,0.195301831,-0.029792065,-0.038189445,2.08708024,-0.000689415,0.065124109,3.09141326,0.192872167,0.428726286,-0.017172672,0.043221571,2.023413897,-0.021279084,-0.032641664,2.210425138,0.205434561,-0.022238698,-0.041403532,-0.054326084,0.134048641,4.11229229,0.599127412,6.689435005,7.129424095,0.295
Data_SDY420_CyTOF-1,Data/SDY420/ResultFiles/CyTOF_result/11462_cells_found.573690.fcs,cluster2,CD16-|CD3-|CD4-,11462_cells_found.573690.fcs,648159,40,-0.005320018,-0.037074968,0.131485805,-0.038445231,-0.039078534,1.757679582,-0.021214282,-0.00413763,2.390186548,0.183941767,0.475159496,-0.019770879,-0.005139737,2.530373335,0.000474979,-0.025631649,0.248543307,-0.01980393,-0.037051391,-0.048442338,-0.050393004,0.192096829,2.492001772,0.162434548,6.672152042,7.097731113,0.449
Data_SDY420_CyTOF-1,Data/SDY420/ResultFiles/CyTOF_result/11491-1_cells_found.573697.fcs,cluster2,CD16-|CD3-|CD4-,11491-1_cells_found.573697.fcs,494143,33,0.263105243,-0.049033143,-0.004103846,-0.014753761,-0.035672639,1.55829978,-0.023237301,0.222124875,2.381952524,0.332543194,0.361224771,-0.013523124,0.835350394,0.699130893,0.341705501,-0.010256723,0.772134066,0.195655152,-0.024553178,-0.017165761,-0.04556942,-0.021493208,2.525863409,-0.000738295,5.080973148,5.681321144,0.379
Data_SDY420_CyTOF-1,Data/SDY420/ResultFiles/CyTOF_result/11059_cells_found.573523.fcs,cluster3,CCR7+|CD28+|CD3+|CD4+,11059_cells_found.573523.fcs,590574,43,-0.004040461,0.039045215,3.213402748,0.501928389,-0.03322142,-0.022601407,-0.024274355,3.880959511,1.184237003,3.76626873,0.085300863,-0.041193679,2.540797234,1.662229419,0.195625469,1.645985246,0.467949927,2.377930403,0.186186895,-0.027424132,-0.05466149,-0.037717987,0.217000932,0.327490121,6.320475101,6.797319412,0.185
Data_SDY420_CyTOF-1,Data/SDY420/ResultFiles/CyTOF_result/11445_cells_found.573686.fcs,cluster3,CCR7+|CD28+|CD3+|CD4+,11445_cells_found.573686.fcs,496263.5,46,-0.013720562,-0.007617525,3.563664913,0.583172202,-0.037588805,-0.018868638,-0.006600058,4.593580961,2.161105514,4.30062747,0.091787156,-0.028498995,3.463213205,4.274364948,0.127802148,1.079714358,0.556230843,2.23178792,0.163956337,-0.040087501,-0.04873104,-0.028855046,0.20948083,0.667072237,6.489889383,6.912699938,0.208
Data_SDY420_CyTOF-1,Data/SDY420/ResultFiles/CyTOF_result/11462_cells_found.573690.fcs,cluster3,CCR7+|CD28+|CD3+|CD4+,11462_cells_found.573690.fcs,615615.5,43,-0.027633128,-0.01278668,3.322721243,0.360026792,-0.023172436,-0.020164983,-0.026778858,4.161663532,1.540558934,3.807677746,0.04513537,-0.031645473,2.691815138,2.283017159,-0.01372743,1.635944426,0.373190671,2.189278364,0.14987763,-0.037311997,-0.052319944,-0.022857194,0.091852486,0.358579531,6.448117971,6.895680189,0.196
Data_SDY420_CyTOF-1,Data/SDY420/ResultFiles/CyTOF_result/11491-1_cells_found.573697.fcs,cluster3,CCR7+|CD28+|CD3+|CD4+,11491-1_cells_found.573697.fcs,406329,43,0.288555533,-0.015660577,2.883581638,0.679355681,-0.005262463,0.420557827,-0.012058755,2.746912956,2.61759305,3.666718245,0.537238777,0.082203813,3.150089025,1.599148512,0.387767524,0.380029768,0.650524199,1.72490263,-0.019027308,-0.008121234,-0.032850992,-0.048355781,0.715817988,-0.000708271,5.600438595,6.134283066,0.097
