study_id,fcs_files,cluster_id,label,fcs_names,FSC-A,SSC-A,CD11A,CD4,CD16,CD28,CD95,CD3,CD62L,CD8,CCR7,TIME,fraction
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90208C20090205_00.583331.fcs,cluster1,CD11A+|CD16-|CD3+,Hs90208C20090205_00.583331.fcs,45627.73828,6.165999651,3.065903544,4.117092371,0.083285261,1.274725139,2.533888698,4.503210545,6.434900045,-0.090689469,3.680219293,7186.050049,0.52
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90210C20090205_00.583065.fcs,cluster1,CD11A+|CD16-|CD3+,Hs90210C20090205_00.583065.fcs,44983.63867,6.051675558,2.867807388,3.989837527,0.12947423,1.698435724,1.405599594,4.336544037,6.441925287,0.091710914,3.963073015,6187.099854,0.604
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90211C20090205_00.583066.fcs,cluster1,CD11A+|CD16-|CD3+,Hs90211C20090205_00.583066.fcs,44352.08008,6.041353941,3.012497544,4.00209856,0.121485036,1.132975042,0.843878806,4.26242733,6.423410177,-0.045300253,4.053725481,8136.949951,0.62
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60003C200900407A_00.581924.fcs,cluster1,CD11A+|CD16-|CD3+,T_Hs60003C200900407A_00.581924.fcs,43139.87891,6.22151041,3.004271746,4.241071701,0.161959156,1.512291312,1.468327999,4.233081818,6.380231857,2.881888866,4.299960613,3232.600098,0.349
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60011C200900505A_00.581822.fcs,cluster1,CD11A+|CD16-|CD3+,T_Hs60011C200900505A_00.581822.fcs,58789.79883,6.069689751,3.06450665,4.198235989,0.113293018,2.640702963,1.787061334,4.429706097,5.33520031,-0.111322064,2.837127447,2992.600098,0.592
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60012C200900505A_00.581833.fcs,cluster1,CD11A+|CD16-|CD3+,T_Hs60012C200900505A_00.581833.fcs,61640.55859,6.124999762,3.34954834,4.137613297,0.128935151,2.905794263,3.17858994,4.190613508,5.281633139,0.10062255,2.444553256,4535.099854,0.538
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90208C20090205_00.583331.fcs,cluster2,CD16-|CD3-|CD4-|CD8-,Hs90208C20090205_00.583331.fcs,40476.83984,6.183338404,1.901488841,0.196825765,0.176956981,0.208597608,0.649421275,-0.032402514,2.424784184,-0.060132552,2.211389303,6855.699951,0.354
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90210C20090205_00.583065.fcs,cluster2,CD16-|CD3-|CD4-|CD8-,Hs90210C20090205_00.583065.fcs,45023.16016,6.354519844,2.006752253,0.332162768,0.24175863,0.218280017,1.11629498,0.353925645,4.107613564,0.175718263,2.64248395,5868.799805,0.211
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90211C20090205_00.583066.fcs,cluster2,CD16-|CD3-|CD4-|CD8-,Hs90211C20090205_00.583066.fcs,38602.67969,5.947071075,1.397719979,0.463017434,0.161355704,0.152072862,0.444221467,-0.127311647,6.369909286,-1.136319399,0.67721957,8148,0.313
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60003C200900407A_00.581924.fcs,cluster2,CD16-|CD3-|CD4-|CD8-,T_Hs60003C200900407A_00.581924.fcs,27147.2002,6.298629522,0.164322987,0.227865823,0.108592667,0.083292838,0.567621738,-0.446905926,-2.34785831,-0.20641882,1.133428276,3386.700073,0.566
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60011C200900505A_00.581822.fcs,cluster2,CD16-|CD3-|CD4-|CD8-,T_Hs60011C200900505A_00.581822.fcs,49852.96094,6.48658514,0.969129443,0.460267574,0.172397241,-0.532705605,1.677020371,-0.322101787,-0.860053599,0.076902244,1.122103393,2757.5,0.28
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60012C200900505A_00.581833.fcs,cluster2,CD16-|CD3-|CD4-|CD8-,T_Hs60012C200900505A_00.581833.fcs,51356.23828,6.16972208,1.373901844,0.397078842,0.127688259,0.053930528,1.116606832,0.077632241,2.317756653,0.0152254,1.050052404,4541.200195,0.261
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90208C20090205_00.583331.fcs,cluster3,CD11A+,Hs90208C20090205_00.583331.fcs,47111.64063,6.250770569,3.110104203,2.950813174,0.196368292,1.002421319,2.266355753,4.168297291,6.120049,0.183422744,3.49963975,7160.899902,0.844
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90210C20090205_00.583065.fcs,cluster3,CD11A+,Hs90210C20090205_00.583065.fcs,46796.61914,6.205814362,3.088084936,2.935672879,0.223054081,1.443633914,1.468810201,4.076895714,6.262592554,0.225306332,3.878037214,6152.700195,0.906
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90211C20090205_00.583066.fcs,cluster3,CD11A+,Hs90211C20090205_00.583066.fcs,44737.39844,6.090363503,3.013661146,3.161965013,0.156853072,1.013054132,0.95449844,4.13592577,6.488090754,-0.252576903,3.963926077,7864.949951,0.79
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60003C200900407A_00.581924.fcs,cluster3,CD11A+,T_Hs60003C200900407A_00.581924.fcs,45765.29883,6.377885818,3.0740484,4.114980221,0.205797918,1.323310733,1.494052351,4.032284737,6.232838392,2.714774728,4.145341158,3131.699951,0.48
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60011C200900505A_00.581822.fcs,cluster3,CD11A+,T_Hs60011C200900505A_00.581822.fcs,61777.73828,6.210689545,3.176253438,4.094909906,0.193136819,2.435142398,2.068293929,4.182163239,5.19204092,0.048240071,2.835876107,2941.650024,0.83
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60012C200900505A_00.581833.fcs,cluster3,CD11A+,T_Hs60012C200900505A_00.581833.fcs,62612.98047,6.172685623,3.538330793,2.860906959,0.221327558,2.570372581,3.056981564,3.957271695,4.968473911,0.210625194,2.333361864,4596.850098,0.828
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90208C20090205_00.583331.fcs,cluster4,CD11A+|CD16+,Hs90208C20090205_00.583331.fcs,87086.88281,7.666262627,4.793736458,1.797354221,4.024878025,0.713045001,4.186954498,1.104345679,4.336616039,0.967829585,4.155620575,7567.899902,0.111
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90210C20090205_00.583065.fcs,cluster4,CD11A+|CD16+,Hs90210C20090205_00.583065.fcs,52360.57813,6.573932171,4.238782883,0.221259989,4.490765095,0.272777304,1.180274665,0.258545026,3.797040462,0.222840704,1.839375496,5743.449951,0.15
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90211C20090205_00.583066.fcs,cluster4,CD11A+|CD16+,Hs90211C20090205_00.583066.fcs,117737.3008,7.761374235,4.302128792,1.225966871,3.732696891,1.093119085,4.32250905,2.379680991,7.077479124,2.247481942,5.112941742,6827.300049,0.046
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60003C200900407A_00.581924.fcs,cluster4,CD11A+|CD16+,T_Hs60003C200900407A_00.581924.fcs,67705.73828,7.199510336,4.31122303,0.176496357,4.291060448,0.428909183,1.874159098,-0.363970578,2.867048979,1.100061059,3.444004297,3910.099976,0.05
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60011C200900505A_00.581822.fcs,cluster4,CD11A+|CD16+,T_Hs60011C200900505A_00.581822.fcs,76832.19531,6.775026321,4.193172932,0.397630602,4.21920681,0.189461634,1.954122901,-0.239271373,1.677488327,0.127374962,1.914480686,2737.100098,0.107
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60012C200900505A_00.581833.fcs,cluster4,CD11A+|CD16+,T_Hs60012C200900505A_00.581833.fcs,75617.71875,6.729069471,4.328482628,0.266185746,3.451993227,0.962925255,2.84657383,0.306715488,2.754868627,0.658877581,1.241187871,4699.099854,0.192
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90208C20090205_00.583331.fcs,cluster5,CD11A+|CD16-|CD3+|CD8+,Hs90208C20090205_00.583331.fcs,49789.87891,6.348788261,4.154511929,-0.804763079,0.067968413,0.518486917,2.995863438,4.265802383,5.18867445,5.073832512,2.31428957,7515.5,0.111
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90210C20090205_00.583065.fcs,cluster5,CD11A+|CD16-|CD3+|CD8+,Hs90210C20090205_00.583065.fcs,46014.19922,6.096190214,2.846153975,-0.744163513,0.202200912,1.361499608,1.095755577,4.040796995,6.560274363,5.635736704,4.164620161,6041.100098,0.13
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90211C20090205_00.583066.fcs,cluster5,CD11A+|CD16-|CD3+|CD8+,Hs90211C20090205_00.583066.fcs,44619.59766,6.134397507,3.0407691,0.421904564,0.140846655,0.954373181,0.588839054,4.001086712,6.606770992,5.794147968,4.422762871,8976.799805,0.217
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60003C200900407A_00.581924.fcs,cluster5,CD11A+|CD16-|CD3+|CD8+,T_Hs60003C200900407A_00.581924.fcs,45290.67969,6.231424332,2.984924555,4.235904217,0.155704767,1.473503113,1.306285381,4.237293243,6.545378208,3.154914618,4.477692127,3298.800049,0.253
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60011C200900505A_00.581822.fcs,cluster5,CD11A+|CD16-|CD3+|CD8+,T_Hs60011C200900505A_00.581822.fcs,61294,6.12719202,3.427131176,-0.570935488,0.161767989,1.972728133,1.731407404,4.046445847,5.283704281,4.555243492,2.622376204,3253.399902,0.067
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60012C200900505A_00.581833.fcs,cluster5,CD11A+|CD16-|CD3+|CD8+,T_Hs60012C200900505A_00.581833.fcs,64116.64063,6.177286625,4.015443802,0.612691879,0.141803384,0.959295154,2.955096722,4.095963001,2.982153893,4.142848492,1.274093509,4580,0.141
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90208C20090205_00.583331.fcs,cluster6,CD16-|CD3-|CD4-,Hs90208C20090205_00.583331.fcs,40579.44141,6.184549809,1.903604269,0.191660926,0.171804622,0.212494552,0.651685536,-0.030043066,2.450698853,-0.058155943,2.214237213,6960.100098,0.357
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90210C20090205_00.583065.fcs,cluster6,CD16-|CD3-|CD4-,Hs90210C20090205_00.583065.fcs,45394.03906,6.364250183,2.072295427,0.343387008,0.24175863,0.218723714,1.13127172,0.353925645,4.172577381,0.234904245,2.64248395,6149.5,0.221
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90211C20090205_00.583066.fcs,cluster6,CD16-|CD3-|CD4-,Hs90211C20090205_00.583066.fcs,38687.41797,5.951402903,1.417920828,0.446378157,0.163157456,0.157350972,0.446597993,-0.101505432,6.398431063,-1.054396093,0.744371623,8082.450195,0.324
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60003C200900407A_00.581924.fcs,cluster6,CD16-|CD3-|CD4-,T_Hs60003C200900407A_00.581924.fcs,27567.48047,6.301687717,0.185296074,0.209796593,0.108681925,0.08652164,0.578028858,-0.442814201,-2.313857555,-0.151164293,1.188570261,3364.699951,0.591
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60011C200900505A_00.581822.fcs,cluster6,CD16-|CD3-|CD4-,T_Hs60011C200900505A_00.581822.fcs,49852.96094,6.48658514,0.969129443,0.460267574,0.172397241,-0.532705605,1.677020371,-0.322101787,-0.860053599,0.076902244,1.122103393,2757.5,0.28
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60012C200900505A_00.581833.fcs,cluster6,CD16-|CD3-|CD4-,T_Hs60012C200900505A_00.581833.fcs,51408.29883,6.170632601,1.374857187,0.392515957,0.127729252,0.056298794,1.119110465,0.081059955,2.321059227,0.016909363,1.057672262,4547.75,0.262
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90208C20090205_00.583331.fcs,cluster7,CD16-|CD3-|CD4-|CD62L-|CD8-,Hs90208C20090205_00.583331.fcs,34825.09961,6.179390907,1.805778742,0.191134788,0.135209031,0.19728028,0.663175404,-0.044369787,-1.768133938,-0.009871231,2.092224121,7201.800049,0.17
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90210C20090205_00.583065.fcs,cluster7,CD16-|CD3-|CD4-|CD62L-|CD8-,Hs90210C20090205_00.583065.fcs,30771.25977,6.366841793,0.52201578,0.440132841,0.210158743,0.160911664,0.854973793,0.249779701,-1.581414044,0.174020305,1.917297363,5653.199951,0.054
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90211C20090205_00.583066.fcs,cluster7,CD16-|CD3-|CD4-|CD62L-|CD8-,Hs90211C20090205_00.583066.fcs,27651.83984,6.213190556,0.215286702,0.426840961,0.107054997,0.136836864,1.358770907,-0.022167102,-2.888608694,-0.675778657,-0.516243786,9346.899902,0.076
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60003C200900407A_00.581924.fcs,cluster7,CD16-|CD3-|CD4-|CD62L-|CD8-,T_Hs60003C200900407A_00.581924.fcs,25573.61914,6.30804348,0.112025615,0.235412672,0.101010066,0.078888085,0.573261559,-0.456347644,-2.393201947,-0.266671315,0.911009461,3562.850098,0.51
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60011C200900505A_00.581822.fcs,cluster7,CD16-|CD3-|CD4-|CD62L-|CD8-,T_Hs60011C200900505A_00.581822.fcs,45897.91797,6.60466814,0.363193199,0.494290635,0.157533966,-0.536421418,2.054010987,-0.317503318,-1.317265391,0.076902244,0.544116944,2745.5,0.208
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60012C200900505A_00.581833.fcs,cluster7,CD16-|CD3-|CD4-|CD62L-|CD8-,T_Hs60012C200900505A_00.581833.fcs,46051.43945,6.483420849,0.189127967,0.403535187,0.101466879,0.030767329,1.897062063,-0.003885454,-0.569992959,0.079532091,0.049464295,4512.550049,0.13
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90208C20090205_00.583331.fcs,cluster8,CCR7+|CD11A+|CD16-|CD3+|CD4+|CD62L+,Hs90208C20090205_00.583331.fcs,44550.4375,6.077577591,2.892576694,4.186800003,0.076947823,1.342144132,1.683404326,4.602422714,6.555763245,-0.855940223,3.908460855,7095.399902,0.359
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90210C20090205_00.583065.fcs,cluster8,CCR7+|CD11A+|CD16-|CD3+|CD4+|CD62L+,Hs90210C20090205_00.583065.fcs,44791.35938,6.016079426,2.818240166,4.067492008,0.11269968,1.756480575,1.203429461,4.431314468,6.504507065,-0.806116223,4.009104729,6203.899902,0.405
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90211C20090205_00.583066.fcs,cluster8,CCR7+|CD11A+|CD16-|CD3+|CD4+|CD62L+,Hs90211C20090205_00.583066.fcs,43442.35938,5.958714485,2.925931334,4.139590025,0.126938328,1.182032526,0.572699904,4.412416935,6.434584141,-1.430238545,4.084045887,8192.350098,0.352
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60003C200900407A_00.581924.fcs,cluster8,CCR7+|CD11A+|CD16-|CD3+|CD4+|CD62L+,T_Hs60003C200900407A_00.581924.fcs,43458.32031,6.202506542,2.940140963,4.278666973,0.16546382,1.506828666,1.184467554,4.319513798,6.452791691,2.825605869,4.410972595,3127.800049,0.259
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60011C200900505A_00.581822.fcs,cluster8,CCR7+|CD11A+|CD16-|CD3+|CD4+|CD62L+,T_Hs60011C200900505A_00.581822.fcs,58789.79883,6.059257269,3.029602885,4.21972394,0.103296451,2.65091002,1.571597993,4.489029646,5.398053169,-0.235851996,3.02042222,2998.75,0.45
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60012C200900505A_00.581833.fcs,cluster8,CCR7+|CD11A+|CD16-|CD3+|CD4+|CD62L+,T_Hs60012C200900505A_00.581833.fcs,60907.53906,6.072218657,3.181840301,4.231682777,0.09469945,3.017436862,3.191190839,4.257190228,5.569694281,-0.231101207,2.969365358,4445.950195,0.316
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90208C20090205_00.583331.fcs,cluster9,CD11A+|CD16-|CD3+|CD8-|CD95+,Hs90208C20090205_00.583331.fcs,47718.87891,6.217622757,3.22540164,4.197280884,0.129481077,1.562372446,3.344947338,4.39043808,6.464326859,-0.344142973,3.697847366,7464,0.211
Data_SDY736_FCM-1,Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90210C20090205_00.583065.fcs,cluster9,CD11A+|CD16-|CD3+|CD8-|CD95+,Hs90210C20090205_00.583065.fcs,48809.48047,6.233458042,3.237326026,4.148960114,0.107274216,2.138240218,2.96765244,4.323890924,6.31202817,-0.528988332,3.52584815,5860.850098,0.212
