"study_id","fcs_files","cluster_id","label","fcs_names","FSC-A","SSC-A","CD11A","CD4","CD16","CD28","CD95","CD3","CD62L","CD8","CCR7","TIME","fraction"
"Data_SDY736_FCM-1","Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90208Bd_C20090205_00.583331.fcs","cluster1","CD11A+|CD16-|CD3+","Hs90208Bd_C20090205_00.583331.fcs",45627.73828125,6.1659996509552,3.06590354442596,4.11709237098694,0.0832852609455585,1.27472513914108,2.53388869762421,4.50321054458618,6.4349000453949,-0.0906894691288471,3.68021929264069,7186.05004882812,0.52
"Data_SDY736_FCM-1","Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90210Bd_C20090205_00.583065.fcs","cluster1","CD11A+|CD16-|CD3+","Hs90210Bd_C20090205_00.583065.fcs",44983.638671875,6.05167555809021,2.86780738830566,3.98983752727509,0.129474230110645,1.69843572378159,1.40559959411621,4.33654403686523,6.4419252872467,0.091710913926363,3.96307301521301,6187.09985351562,0.604
"Data_SDY736_FCM-1","Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90211Bd_C20090205_00.583066.fcs","cluster1","CD11A+|CD16-|CD3+","Hs90211Bd_C20090205_00.583066.fcs",44352.080078125,6.04135394096375,3.01249754428864,4.00209856033325,0.121485035866499,1.1329750418663,0.84387880563736,4.26242733001709,6.42341017723083,-0.0453002527356148,4.05372548103333,8136.94995117188,0.62
"Data_SDY736_FCM-1","Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60003Bd_C200900407A_00.581924.fcs","cluster1","CD11A+|CD16-|CD3+","T_Hs60003Bd_C200900407A_00.581924.fcs",43139.87890625,6.22151041030884,3.00427174568176,4.2410717010498,0.161959156394005,1.51229131221771,1.46832799911499,4.23308181762695,6.3802318572998,2.88188886642456,4.29996061325073,3232.60009765625,0.349
"Data_SDY736_FCM-1","Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60011Bd_C200900505A_00.581822.fcs","cluster1","CD11A+|CD16-|CD3+","T_Hs60011Bd_C200900505A_00.581822.fcs",58789.798828125,6.06968975067139,3.06450664997101,4.19823598861694,0.113293018192053,2.64070296287537,1.78706133365631,4.42970609664917,5.33520030975342,-0.111322063952684,2.8371274471283,2992.60009765625,0.592
"Data_SDY736_FCM-1","Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60012Bd_C200900505A_00.581833.fcs","cluster1","CD11A+|CD16-|CD3+","T_Hs60012Bd_C200900505A_00.581833.fcs",61640.55859375,6.12499976158142,3.34954833984375,4.13761329650879,0.128935150802135,2.90579426288605,3.17858994007111,4.19061350822449,5.28163313865662,0.100622549653053,2.44455325603485,4535.09985351562,0.538
"Data_SDY736_FCM-1","Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90208Bd_C20090205_00.583331.fcs","cluster2","CD16-|CD3-|CD4-|CD8-","Hs90208Bd_C20090205_00.583331.fcs",40476.83984375,6.18333840370178,1.90148884057999,0.196825765073299,0.176956981420517,0.208597607910633,0.649421274662018,-0.0324025135487318,2.4247841835022,-0.0601325519382954,2.2113893032074,6855.69995117188,0.354
"Data_SDY736_FCM-1","Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90210Bd_C20090205_00.583065.fcs","cluster2","CD16-|CD3-|CD4-|CD8-","Hs90210Bd_C20090205_00.583065.fcs",45023.16015625,6.35451984405518,2.00675225257874,0.332162767648697,0.24175862967968,0.218280017375946,1.11629498004913,0.35392564535141,4.1076135635376,0.175718262791634,2.64248394966125,5868.7998046875,0.211
"Data_SDY736_FCM-1","Data/SDY736/ResultFiles/Flow_cytometry_result/Hs90211Bd_C20090205_00.583066.fcs","cluster2","CD16-|CD3-|CD4-|CD8-","Hs90211Bd_C20090205_00.583066.fcs",38602.6796875,5.94707107543945,1.39771997928619,0.46301743388176,0.161355704069138,0.152072861790657,0.444221466779709,-0.127311646938324,6.36990928649902,-1.13631939888,0.677219569683075,8148,0.313
"Data_SDY736_FCM-1","Data/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60003Bd_C200900407A_00.581924.fcs","cluster2","CD16-|CD3-|CD4-|CD8-","T_Hs60003Bd_C200900407A_00.581924.fcs",27147.2001953125,6.29862952232361,0.16432298719883,0.227865822613239,0.108592666685581,0.0832928381860256,0.567621737718582,-0.446905925869942,-2.34785830974579,-0.206418819725513,1.13342827558517,3386.70007324219,0.566
