study_id,fcs_files,cluster_id,label,fcs_names,FSC-A,SSC-A,CD45RA,LIVE,CD57,CD3,CD4,KI67,CD28,CCR7,CD8,CD95,TIME,fraction
Data_SDY736_FCM-2,Data/SDY736/ResultFiles/Flow_cytometry_result/Ki67ccr7_C200906243.581846.fcs,cluster1,CCR7-|CD28-|CD3-|CD4-|CD45RA-|CD95-,Ki67ccr7_C200906243.581846.fcs,7966.44043,4.454602242,0.43139264,0.438874483,0.01810589,0.018433765,0.051235352,0.120373003,0.052079236,0.052155873,0.058797639,0.059315313,1563.850037,0.632
Data_SDY736_FCM-2,Data/SDY736/ResultFiles/Flow_cytometry_result/Ki67ccr7_Hs60025C200907134.583112.fcs,cluster1,CCR7-|CD28-|CD3-|CD4-|CD45RA-|CD95-,Ki67ccr7_Hs60025C200907134.583112.fcs,7346.880371,4.346733093,0.525698066,0.460193604,0.013989548,0.048008919,0.048280898,0.117183037,0.057511356,0.077316388,0.053036842,0.095322706,2236.800049,0.577
Data_SDY736_FCM-2,Data/SDY736/ResultFiles/Flow_cytometry_result/Ki67ccr7_Hs60041C200908104.581964.fcs,cluster1,CCR7-|CD28-|CD3-|CD4-|CD45RA-|CD95-,Ki67ccr7_Hs60041C200908104.581964.fcs,7610.400391,4.427486897,0.398900032,0.419016302,-0.003264579,0.008664494,0.002560033,0.149226099,0.047958132,0.049159259,0.032423079,0.076284662,4412.600098,0.771
Data_SDY736_FCM-2,Data/SDY736/ResultFiles/Flow_cytometry_result/Ki67ccr7_Hs60056C200909217.581912.fcs,cluster1,CCR7-|CD28-|CD3-|CD4-|CD45RA-|CD95-,Ki67ccr7_Hs60056C200909217.581912.fcs,10173.60059,4.885256052,0.527205914,0.524983317,-0.006137732,0.041400677,0.014265031,0.19142136,0.06558194,0.082246862,0.053834269,0.091566775,323.1499939,0.718
Data_SDY736_FCM-2,Data/SDY736/ResultFiles/Flow_cytometry_result/Ki67ccr7_C200906243.581846.fcs,cluster2,CCR7+|CD28+|CD3+|CD4+,Ki67ccr7_C200906243.581846.fcs,51731.28125,5.75949192,2.937806368,0.435241222,0.730516553,3.262265921,3.466587543,0.715337396,2.328637362,4.264136314,-0.10038919,0.785059571,1129.400024,0.119
Data_SDY736_FCM-2,Data/SDY736/ResultFiles/Flow_cytometry_result/Ki67ccr7_Hs60025C200907134.583112.fcs,cluster2,CCR7+|CD28+|CD3+|CD4+,Ki67ccr7_Hs60025C200907134.583112.fcs,51381.36133,5.633862019,2.798490405,0.267936438,0.711663872,3.410469174,3.520035863,0.516919196,2.310220957,4.548294783,-0.131938513,1.299785733,1979.849976,0.228
Data_SDY736_FCM-2,Data/SDY736/ResultFiles/Flow_cytometry_result/Ki67ccr7_Hs60041C200908104.581964.fcs,cluster2,CCR7+|CD28+|CD3+|CD4+,Ki67ccr7_Hs60041C200908104.581964.fcs,57569.76172,5.710686684,2.731202602,0.20895116,0.339618176,3.557116747,3.658430099,0.769146144,2.39507699,4.777751446,-0.090929411,0.749306679,3544,0.085
Data_SDY736_FCM-2,Data/SDY736/ResultFiles/Flow_cytometry_result/Ki67ccr7_Hs60056C200909217.581912.fcs,cluster2,CCR7+|CD28+|CD3+|CD4+,Ki67ccr7_Hs60056C200909217.581912.fcs,51516.36133,5.795498848,1.854305804,0.269111916,0.825184554,3.139609575,3.610880613,0.63313669,2.451141119,4.236815453,0.091513794,1.441391349,279.4000092,0.138
Data_SDY736_FCM-2,Data/SDY736/ResultFiles/Flow_cytometry_result/Ki67ccr7_C200906243.581846.fcs,cluster3,CCR7-|CD28-|CD3-|CD4-|CD45RA-|CD95-|KI67+,Ki67ccr7_C200906243.581846.fcs,8169.840332,4.541755676,0.424650967,0.461989403,0.009439289,0.021798572,0.078696959,0.929602683,0.050694115,0.055876005,0.057032321,0.060986061,1585.5,0.331
Data_SDY736_FCM-2,Data/SDY736/ResultFiles/Flow_cytometry_result/Ki67ccr7_Hs60025C200907134.583112.fcs,cluster3,CCR7-|CD28-|CD3-|CD4-|CD45RA-|CD95-|KI67+,Ki67ccr7_Hs60025C200907134.583112.fcs,7602.120361,4.425004244,0.592414945,0.483263135,0.014090243,0.055508368,0.053328278,0.937859803,0.042787816,0.07690898,0.046958553,0.096188582,2068.900024,0.298
