"","SDY420_CyTOF-1","SDY736_FCM-1","SDY736_FCM-2"
"CCR7",1,1,1
"CD127",1,0,0
"CD14",1,0,0
"CD16",1,1,0
"CD161",1,0,0
"CD19",1,0,0
"CD20",1,0,0
"CD24",1,0,0
"CD25",1,0,0
"CD27",1,0,0
"CD28",1,1,1
"CD3",1,1,1
"CD33",1,0,0
"CD38",1,0,0
"CD4",1,1,1
"CD45RA",1,0,1
"CD56",1,0,0
"CD8",1,0,1
"CD85J",1,0,0
"CD94",1,0,0
"CELL_LENGTH",1,0,0
"DEAD",1,0,0
"DNA1",1,0,0
"DNA2",1,0,0
"HLADR",1,0,0
"IGD",1,0,0
"SAMPLE_ID",1,1,1
"TCRGD",1,0,0
"TIME",1,1,1
"CD11A",0,1,0
"CD62L",0,1,0
"CD8B",0,1,0
"CD95",0,1,1
"FSC-A",0,1,1
"SSC-A",0,1,1
"CD57",0,0,1
"KI67",0,0,1
"LIVE",0,0,1
