"fcs_names","fcs_files","study_id","antibodies"
"11059_cells_found.573523.fcs","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY420/ResultFiles/CyTOF_result/11059_cells_found.573523.fcs","SDY420_CyTOF-1","TIME|CELL_LENGTH|DEAD|CD19|CD4|CD8|IGD|CD85J|CD16|CD3|CD38|CD27|CD14|CD94|CCR7|CD45RA|CD20|CD127|CD33|CD28|CD24|CD161|TCRGD|CD56|HLADR|CD25|DNA1|DNA2|SAMPLE_ID"
"11445_cells_found.573686.fcs","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY420/ResultFiles/CyTOF_result/11445_cells_found.573686.fcs","SDY420_CyTOF-1","TIME|CELL_LENGTH|DEAD|CD19|CD4|CD8|IGD|CD85J|CD16|CD3|CD38|CD27|CD14|CD94|CCR7|CD45RA|CD20|CD127|CD33|CD28|CD24|CD161|TCRGD|CD56|HLADR|CD25|DNA1|DNA2|SAMPLE_ID"
"11462_cells_found.573690.fcs","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY420/ResultFiles/CyTOF_result/11462_cells_found.573690.fcs","SDY420_CyTOF-1","TIME|CELL_LENGTH|DEAD|CD19|CD4|CD8|IGD|CD85J|CD16|CD3|CD38|CD27|CD14|CD94|CCR7|CD45RA|CD20|CD127|CD33|CD28|CD24|CD161|TCRGD|CD56|HLADR|CD25|DNA1|DNA2|SAMPLE_ID"
"11491-1_cells_found.573697.fcs","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY420/ResultFiles/CyTOF_result/11491-1_cells_found.573697.fcs","SDY420_CyTOF-1","TIME|CELL_LENGTH|DEAD|CD19|CD4|CD8|IGD|CD85J|CD16|CD3|CD38|CD27|CD14|CD94|CCR7|CD45RA|CD20|CD127|CD33|CD28|CD24|CD161|TCRGD|CD56|HLADR|CD25|DNA1|DNA2|SAMPLE_ID"
"Hs90208C20090205_00.583331.fcs","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY736/ResultFiles/Flow_cytometry_result/Hs90208C20090205_00.583331.fcs","SDY736_FCM-1","FSC-A|SSC-A|CD11A|CD4|CD16|CD28|CD95|CD3|CD62L|CD8|CCR7|TIME|SAMPLE_ID"
"Hs90210C20090205_00.583065.fcs","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY736/ResultFiles/Flow_cytometry_result/Hs90210C20090205_00.583065.fcs","SDY736_FCM-1","FSC-A|SSC-A|CD11A|CD4|CD16|CD28|CD95|CD3|CD62L|CD8|CCR7|TIME|SAMPLE_ID"
"Hs90211C20090205_00.583066.fcs","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY736/ResultFiles/Flow_cytometry_result/Hs90211C20090205_00.583066.fcs","SDY736_FCM-1","FSC-A|SSC-A|CD11A|CD4|CD16|CD28|CD95|CD3|CD62L|CD8|CCR7|TIME|SAMPLE_ID"
"Ki67ccr7_Hs60022C200906243.581846.fcs","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60003C200900407A_00.581924.fcs","SDY736_FCM-1","FSC-A|SSC-A|CD11A|CD4|CD16|CD28|CD95|CD3|CD62L|CD8|CCR7|TIME|SAMPLE_ID"
"Ki67ccr7_Hs60025C200907134.583112.fcs","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60011C200900505A_00.581822.fcs","SDY736_FCM-1","FSC-A|SSC-A|CD11A|CD4|CD16|CD28|CD95|CD3|CD62L|CD8|CCR7|TIME|SAMPLE_ID"
"Ki67ccr7_Hs60041C200908104.581964.fcs","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY736/ResultFiles/Flow_cytometry_result/T_Hs60012C200900505A_00.581833.fcs","SDY736_FCM-1","FSC-A|SSC-A|CD11A|CD4|CD16|CD28|CD95|CD3|CD62L|CD8|CCR7|TIME|SAMPLE_ID"
"Ki67ccr7_Hs60056C200909217.581912.fcs","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY736/ResultFiles/Flow_cytometry_result/Ki67ccr7_Hs60022C200906243.581846.fcs","SDY736_FCM-2","FSC-A|SSC-A|CD45RA|LIVE|CD57|CD3|CD4|KI67|CD28|CCR7|CD8|CD95|TIME|SAMPLE_ID"
"T_Hs60003C200900407A_00.581924.fcs","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY736/ResultFiles/Flow_cytometry_result/Ki67ccr7_Hs60025C200907134.583112.fcs","SDY736_FCM-2","FSC-A|SSC-A|CD45RA|LIVE|CD57|CD3|CD4|KI67|CD28|CCR7|CD8|CD95|TIME|SAMPLE_ID"
"T_Hs60011C200900505A_00.581822.fcs","/Users/zichenghu/Desktop/Local_Projects/MetaCyto/inst/extdata/SDY736/ResultFiles/Flow_cytometry_result/Ki67ccr7_Hs60041C200908104.581964.fcs","SDY736_FCM-2","FSC-A|SSC-A|CD45RA|LIVE|CD57|CD3|CD4|KI67|CD28|CCR7|CD8|CD95|TIME|SAMPLE_ID"
